File Server;;Access Path;;SID;Permissions;;
HM003W33.monoprix.lan;;P:\Partages\Reseaux\EPSON Magasin;;S-1-5-21-1814001345-345268950-1373009395-52311;FMRWXL;;
HM003W33.monoprix.lan;;P:\Partages\Reseaux\EPSON Magasin\Epson AL-M400DN;;S-1-5-21-1814001345-345268950-1373009395-52311;FMRWXL;;
HM003W33.monoprix.lan;;P:\Partages\Reseaux\EPSON Magasin\Epson Multifonction CX37;;S-1-5-21-1814001345-345268950-1373009395-52311;FMRWXL;;
HM003W33.monoprix.lan;;P:\Partages\Reseaux\EPSON Magasin\Epson Multifonction CX37\Photos;;S-1-5-21-1814001345-345268950-1373009395-52311;FMRWXL;;
